14 1000
0 1 2 3 4 5 6 7 8 9 10 11 12 13 
1 0 3 4 5 6 7 8 9 10 11 12 13 14 
2 3 0 5 6 7 8 9 10 11 12 13 14 15 
3 4 5 0 7 8 9 10 11 12 13 14 15 16 
4 5 6 7 0 9 10 11 12 13 14 15 16 17 
5 6 7 8 9 0 11 12 13 14 15 16 17 18 
6 7 8 9 10 11 0 13 14 15 16 17 18 19 
7 8 9 10 11 12 13 0 15 16 17 18 19 20 
8 9 10 11 12 13 14 15 0 17 18 19 20 21 
9 10 11 12 13 14 15 16 17 0 19 20 21 22 
10 11 12 13 14 15 16 17 18 19 0 21 22 23 
11 12 13 14 15 16 17 18 19 20 21 0 23 24 
12 13 14 15 16 17 18 19 20 21 22 23 0 25 
13 14 15 16 17 18 19 20 21 22 23 24 25 0 
